Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2021-100018,2021-06-21,2021-06-23,Standard Class,CUST-5576,Juan Perez,Consumer,Colombia,Bogotá,,94328,North,PROD-6782,Office Supplies,Envelopes,Envelopes 114,72.71,5,0.14,20.38
CA-2024-100019,2024-01-14,2024-01-18,Standard Class,CUST-9597,Manuela Granados,Corporate,Brazil,Rio de Janeiro,,74612,North,PROD-5437,Office Supplies,Envelopes,Envelopes 316,72.98,5,0.08,21.53
CA-2022-100020,2022-02-13,2022-02-19,Standard Class,CUST-8693,Sara Lopez,Corporate,United States,Chicago,,34226,East,PROD-9264,Technology,Accessories,Accessories 399,676.46,4,0.08,57.51
CA-2019-100021,2019-01-27,2019-02-02,Standard Class,CUST-9286,Juan Perez,Home Office,Chile,Santiago,,41055,South,PROD-6901,Office Supplies,Art,Art 833,23.35,2,0.22,2.57
CA-2020-100022,2020-10-15,2020-10-17,Same Day,CUST-8340,Juan Perez,Corporate,Peru,Lima,,21871,West,PROD-8179,Office Supplies,Envelopes,Envelopes 800,102.9,6,0.16,10.8
CA-2023-100023,2023-09-28,2023-10-02,First Class,CUST-7488,Luisa Morales,Corporate,Peru,Arequipa,,59841,North,PROD-5737,Furniture,Bookcases,Bookcases 382,1141.77,4,0.28,161.11
CA-2022-100024,2022-10-25,2022-10-30,First Class,CUST-6671,Luisa Morales,Consumer,Spain,Barcelona,,76918,East,PROD-7928,Office Supplies,Art,Art 101,194.11,8,0.1,23.73
CA-2022-100025,2022-02-12,2022-02-13,First Class,CUST-2549,Luisa Morales,Corporate,Brazil,Rio de Janeiro,,79252,North,PROD-7140,Technology,Accessories,Accessories 598,3239.69,4,0.21,343.36
CA-2020-100026,2020-09-28,2020-10-02,First Class,CUST-7356,Alejandro Robles,Home Office,United States,New York,,66532,West,PROD-9433,Technology,Machines,Machines 493,358.19,7,0.29,22.92
CA-2021-100027,2021-05-31,2021-06-02,Second Class,CUST-8961,David Charry,Consumer,Peru,Arequipa,,47487,West,PROD-6827,Office Supplies,Art,Art 546,227.74,5,0.21,46.29
CA-2022-100028,2022-10-10,2022-10-16,First Class,CUST-1392,Maria Garcia,Consumer,Brazil,São Paulo,,74641,Central,PROD-9616,Office Supplies,Storage,Storage 129,31.89,2,0.33,-7.91
CA-2020-100029,2020-02-23,2020-02-28,Standard Class,CUST-1078,Carlos Ramirez,Consumer,Argentina,Rosario,,35431,Central,PROD-9080,Technology,Accessories,Accessories 956,608.73,1,0.44,-251.11
CA-2020-100030,2020-01-15,2020-01-19,Second Class,CUST-1147,David Charry,Home Office,Canada,Toronto,,54857,East,PROD-7420,Office Supplies,Storage,Storage 232,147.71,3,0.17,39.04
CA-2023-100031,2023-04-06,2023-04-07,Standard Class,CUST-6439,Manuela Granados,Home Office,Peru,Lima,,33888,West,PROD-7511,Technology,Copiers,Copiers 220,2853.23,4,0.12,164.35
CA-2020-100032,2020-02-01,2020-02-02,Same Day,CUST-9569,Manuela Granados,Home Office,Mexico,Guadalajara,,67713,West,PROD-5285,Furniture,Furnishings,Furnishings 767,4411.53,8,0.13,389.58
CA-2023-100033,2023-01-10,2023-01-13,Second Class,CUST-1521,David Charry,Consumer,Chile,Valparaíso,,55000,Central,PROD-8569,Furniture,Furnishings,Furnishings 183,646.64,5,0.24,96.15
CA-2022-100034,2022-11-09,2022-11-12,Standard Class,CUST-3160,Luisa Morales,Consumer,Spain,Valencia,,87794,West,PROD-8031,Technology,Accessories,Accessories 917,3891.12,9,0.13,542.01
CA-2021-100035,2021-12-19,2021-12-26,First Class,CUST-9789,Luisa Morales,Home Office,Colombia,Cali,,68712,East,PROD-9853,Office Supplies,Envelopes,Envelopes 235,114.17,7,0.04,22.91
CA-2019-100036,2019-06-27,2019-06-29,Standard Class,CUST-9652,Maria Garcia,Consumer,Canada,Toronto,,77260,West,PROD-4754,Technology,Machines,Machines 421,950.78,6,0.09,276.66
CA-2024-100037,2024-02-25,2024-02-29,Same Day,CUST-9553,Sara Lopez,Corporate,Mexico,CDMX,,75095,Central,PROD-8353,Technology,Phones,Phones 656,552.82,1,0.21,99.35
CA-2020-100038,2020-05-26,2020-05-30,First Class,CUST-7445,Carlos Ramirez,Home Office,United States,Chicago,,94899,East,PROD-3159,Technology,Accessories,Accessories 13,303.06,1,0.18,-1.0
CA-2023-100039,2023-03-31,2023-04-07,First Class,CUST-8378,Sara Lopez,Home Office,United States,Los Angeles,,19596,South,PROD-2124,Office Supplies,Storage,Storage 698,252.58,6,0.17,27.06
CA-2019-100040,2019-11-19,2019-11-25,Same Day,CUST-6891,David Charry,Home Office,Canada,Montreal,,25379,West,PROD-2080,Office Supplies,Binders,Binders 941,196.51,4,0.08,28.65
CA-2022-100041,2022-04-15,2022-04-21,Same Day,CUST-1161,Luisa Morales,Home Office,Argentina,Córdoba,,73646,North,PROD-1593,Technology,Accessories,Accessories 915,638.83,1,0.19,22.84
CA-2023-100042,2023-01-21,2023-01-28,Second Class,CUST-9623,Alejandro Robles,Consumer,Canada,Toronto,,16256,Central,PROD-6469,Furniture,Bookcases,Bookcases 183,908.2,3,0.31,-85.79
CA-2021-100043,2021-02-26,2021-03-04,Same Day,CUST-2283,Carlos Ramirez,Home Office,Brazil,Brasília,,93930,North,PROD-1659,Office Supplies,Paper,Paper 752,135.13,7,0.18,27.67
CA-2019-100044,2019-10-12,2019-10-15,Second Class,CUST-3757,Manuela Granados,Home Office,Spain,Valencia,,94530,North,PROD-4920,Furniture,Tables,Tables 877,3904.57,6,0.18,210.74
CA-2019-100045,2019-07-07,2019-07-11,First Class,CUST-4331,Carlos Ramirez,Consumer,Spain,Madrid,,12839,East,PROD-8462,Technology,Copiers,Copiers 931,1268.43,5,0.18,-94.67
CA-2021-100046,2021-07-22,2021-07-29,Second Class,CUST-2431,Manuela Granados,Corporate,Argentina,Rosario,,19557,East,PROD-5713,Furniture,Chairs,Chairs 414,643.06,9,0.16,180.65
CA-2022-100047,2022-03-31,2022-04-04,Same Day,CUST-6347,David Charry,Consumer,Peru,Cusco,,28681,North,PROD-3643,Furniture,Tables,Tables 850,1263.34,7,0.3,145.08
CA-2019-100048,2019-11-23,2019-11-24,Second Class,CUST-7342,Maria Garcia,Consumer,Mexico,Monterrey,,12539,West,PROD-2449,Furniture,Furnishings,Furnishings 666,2546.95,9,0.14,656.3
CA-2021-100049,2021-08-11,2021-08-14,First Class,CUST-6976,Alejandro Robles,Consumer,Chile,Santiago,,16304,Central,PROD-7588,Technology,Phones,Phones 425,6410.99,8,0.32,-557.95
CA-2020-100050,2020-02-18,2020-02-23,First Class,CUST-3090,Manuela Granados,Corporate,Brazil,Brasília,,55232,West,PROD-7566,Office Supplies,Labels,Labels 598,46.19,2,0.12,8.34
CA-2023-100051,2023-04-06,2023-04-09,Same Day,CUST-4750,David Charry,Corporate,Spain,Barcelona,,40651,West,PROD-9535,Office Supplies,Envelopes,Envelopes 936,14.21,1,0.06,4.7
CA-2022-100052,2022-02-12,2022-02-19,First Class,CUST-7519,Sara Lopez,Consumer,Brazil,São Paulo,,24939,North,PROD-2749,Technology,Phones,Phones 628,760.23,3,0.1,121.79
CA-2024-100053,2024-02-01,2024-02-06,Second Class,CUST-3274,Carlos Ramirez,Consumer,United States,Los Angeles,,58563,West,PROD-5869,Office Supplies,Binders,Binders 679,381.19,9,0.07,87.22
CA-2023-100054,2023-02-03,2023-02-04,Standard Class,CUST-7710,Sara Lopez,Consumer,United States,Austin,,50846,South,PROD-6000,Furniture,Tables,Tables 559,4609.33,7,0.02,891.88
CA-2020-100055,2020-10-28,2020-11-04,Same Day,CUST-7629,Manuela Granados,Home Office,Chile,Valparaíso,,43380,West,PROD-4200,Technology,Copiers,Copiers 520,4148.96,8,0.25,549.56
CA-2023-100056,2023-02-25,2023-02-27,Second Class,CUST-6108,Luisa Morales,Consumer,Colombia,Cali,,66481,West,PROD-4604,Office Supplies,Storage,Storage 670,158.29,5,0.16,21.61
CA-2022-100057,2022-12-26,2022-12-30,First Class,CUST-8833,Maria Garcia,Corporate,Chile,Santiago,,25036,North,PROD-7788,Office Supplies,Storage,Storage 227,181.19,4,0.23,-18.09
CA-2021-100058,2021-05-08,2021-05-09,Standard Class,CUST-1587,Maria Garcia,Corporate,Brazil,Brasília,,95751,North,PROD-5079,Furniture,Furnishings,Furnishings 277,4761.75,9,0.21,498.24
CA-2021-100059,2021-12-29,2022-01-02,Same Day,CUST-7980,Alejandro Robles,Consumer,Spain,Madrid,,86637,East,PROD-7763,Furniture,Furnishings,Furnishings 651,164.26,1,0.35,-14.08
CA-2019-100060,2019-10-20,2019-10-26,Standard Class,CUST-9831,Carlos Ramirez,Home Office,Chile,Concepción,,97960,West,PROD-7659,Office Supplies,Storage,Storage 442,126.56,3,0.06,42.84
CA-2020-100061,2020-12-01,2020-12-03,First Class,CUST-2787,Alejandro Robles,Consumer,Colombia,Cali,,60290,East,PROD-8374,Office Supplies,Paper,Paper 210,23.3,6,0.35,-6.89
CA-2024-100062,2024-12-27,2024-12-29,Standard Class,CUST-6661,Maria Garcia,Home Office,Brazil,São Paulo,,32010,West,PROD-7142,Furniture,Furnishings,Furnishings 846,666.88,1,0.06,213.79
CA-2021-100063,2021-09-29,2021-09-30,Same Day,CUST-2531,Carlos Ramirez,Home Office,Canada,Montreal,,60085,West,PROD-3990,Technology,Accessories,Accessories 398,273.0,4,0.16,17.41
CA-2020-100064,2020-10-31,2020-11-02,Second Class,CUST-1040,Juan Perez,Home Office,United States,Seattle,,60139,East,PROD-6827,Furniture,Tables,Tables 68,1971.07,5,0.16,353.92
CA-2024-100065,2024-03-08,2024-03-13,First Class,CUST-2492,Manuela Granados,Corporate,Chile,Valparaíso,,89151,South,PROD-1660,Office Supplies,Art,Art 325,121.9,8,0.28,6.71
CA-2023-100066,2023-04-04,2023-04-06,Standard Class,CUST-8468,Luisa Morales,Consumer,Canada,Toronto,,16581,West,PROD-1342,Furniture,Furnishings,Furnishings 431,858.82,4,0.1,12.64
CA-2022-100067,2022-01-10,2022-01-14,First Class,CUST-1771,Juan Perez,Corporate,Canada,Montreal,,18770,Central,PROD-6525,Furniture,Furnishings,Furnishings 76,2577.07,9,0.12,225.71
CA-2021-100068,2021-06-18,2021-06-22,Same Day,CUST-5378,Alejandro Robles,Corporate,Canada,Toronto,,95371,East,PROD-8815,Technology,Copiers,Copiers 467,2636.61,6,0.26,-146.87
CA-2022-100069,2022-08-21,2022-08-28,Standard Class,CUST-2325,Alejandro Robles,Corporate,Mexico,CDMX,,27543,East,PROD-5976,Office Supplies,Paper,Paper 190,29.14,1,0.01,6.74
CA-2019-100070,2019-08-18,2019-08-22,First Class,CUST-5912,Sara Lopez,Corporate,Mexico,CDMX,,43623,South,PROD-5648,Office Supplies,Envelopes,Envelopes 529,77.95,4,0.1,15.66
CA-2021-100071,2021-07-27,2021-08-03,Second Class,CUST-7132,Sara Lopez,Corporate,Canada,Toronto,,32432,West,PROD-7588,Furniture,Bookcases,Bookcases 240,1363.53,5,0.17,175.28
CA-2019-100072,2019-05-12,2019-05-16,Standard Class,CUST-5033,Manuela Granados,Consumer,Argentina,Córdoba,,13744,West,PROD-6443,Technology,Copiers,Copiers 990,7077.3,7,0.03,791.78
CA-2022-100073,2022-07-16,2022-07-21,Second Class,CUST-3497,Maria Garcia,Consumer,Colombia,Cali,,84637,South,PROD-2842,Furniture,Bookcases,Bookcases 843,1133.96,4,0.18,22.68
CA-2023-100074,2023-07-02,2023-07-09,Second Class,CUST-7439,Carlos Ramirez,Consumer,Peru,Lima,,38669,East,PROD-7401,Technology,Machines,Machines 81,414.0,2,0.09,27.89
CA-2022-100075,2022-01-01,2022-01-04,Same Day,CUST-8461,Sara Lopez,Consumer,Argentina,Rosario,,89285,South,PROD-2819,Furniture,Tables,Tables 277,895.05,3,0.26,-127.02
CA-2019-100076,2019-09-29,2019-10-05,Standard Class,CUST-4243,Juan Perez,Corporate,Brazil,Rio de Janeiro,,78670,East,PROD-7990,Furniture,Chairs,Chairs 41,511.71,2,0.31,-33.4
CA-2021-100077,2021-05-14,2021-05-15,Same Day,CUST-1006,Carlos Ramirez,Corporate,Spain,Barcelona,,31312,West,PROD-4267,Furniture,Tables,Tables 421,1842.03,7,0.15,433.3
CA-2022-100078,2022-07-12,2022-07-16,Standard Class,CUST-1929,Carlos Ramirez,Corporate,Colombia,Cali,,27438,North,PROD-4699,Furniture,Bookcases,Bookcases 440,578.8,1,0.24,-71.7
CA-2021-100079,2021-05-20,2021-05-22,First Class,CUST-5458,Carlos Ramirez,Corporate,Spain,Barcelona,,87362,Central,PROD-7591,Technology,Copiers,Copiers 987,775.64,4,0.38,-53.37
CA-2024-100080,2024-08-06,2024-08-10,First Class,CUST-7789,Juan Perez,Consumer,United States,Chicago,,28800,North,PROD-1785,Furniture,Bookcases,Bookcases 201,501.03,2,0.18,47.53
CA-2023-100081,2023-06-09,2023-06-11,Second Class,CUST-1946,Manuela Granados,Corporate,Spain,Barcelona,,66882,North,PROD-2439,Furniture,Chairs,Chairs 109,347.74,4,0.15,71.98
CA-2024-100082,2024-02-23,2024-02-29,Standard Class,CUST-6004,Sara Lopez,Home Office,Colombia,Medellín,,95090,North,PROD-7652,Technology,Phones,Phones 273,307.48,1,0.04,19.24
CA-2020-100083,2020-08-08,2020-08-14,Same Day,CUST-4730,Maria Garcia,Corporate,Mexico,CDMX,,11140,East,PROD-7207,Technology,Copiers,Copiers 91,1237.29,2,0.19,71.93
CA-2021-100084,2021-12-20,2021-12-26,Second Class,CUST-1557,Luisa Morales,Home Office,Chile,Concepción,,70011,North,PROD-1882,Furniture,Chairs,Chairs 147,1019.9,2,0.15,200.7
CA-2020-100085,2020-07-25,2020-07-27,First Class,CUST-3808,Sara Lopez,Consumer,Peru,Lima,,46304,West,PROD-7642,Furniture,Chairs,Chairs 754,2385.96,4,0.15,271.2
CA-2021-100086,2021-10-07,2021-10-11,Second Class,CUST-2863,David Charry,Home Office,Peru,Lima,,18016,Central,PROD-1115,Technology,Accessories,Accessories 941,1579.13,3,0.06,69.15
CA-2021-100087,2021-12-12,2021-12-18,First Class,CUST-3767,David Charry,Home Office,Mexico,Guadalajara,,46188,West,PROD-2137,Furniture,Chairs,Chairs 480,579.45,1,0.16,-26.15
CA-2023-100088,2023-10-21,2023-10-26,Second Class,CUST-5152,Manuela Granados,Home Office,Chile,Santiago,,37810,Central,PROD-8901,Technology,Machines,Machines 303,1227.6,6,0.0,413.44
CA-2023-100089,2023-06-24,2023-07-01,First Class,CUST-5236,Luisa Morales,Corporate,Chile,Santiago,,17295,East,PROD-9068,Technology,Machines,Machines 188,413.87,3,0.1,128.44
CA-2023-100090,2023-01-22,2023-01-24,First Class,CUST-2381,David Charry,Consumer,Spain,Valencia,,34322,North,PROD-2098,Office Supplies,Art,Art 355,390.64,9,0.15,58.77
CA-2021-100091,2021-06-17,2021-06-19,Same Day,CUST-3555,Carlos Ramirez,Corporate,Brazil,São Paulo,,78487,East,PROD-6409,Technology,Phones,Phones 295,1783.79,2,0.15,77.58
CA-2020-100092,2020-07-20,2020-07-24,Second Class,CUST-2556,Luisa Morales,Consumer,Chile,Concepción,,71202,East,PROD-8570,Technology,Phones,Phones 53,7185.54,7,0.06,353.97
CA-2024-100093,2024-09-18,2024-09-20,Standard Class,CUST-7555,Manuela Granados,Corporate,Canada,Toronto,,56101,Central,PROD-9244,Office Supplies,Art,Art 408,104.45,9,0.1,12.64
CA-2024-100094,2024-07-14,2024-07-16,First Class,CUST-8758,Maria Garcia,Corporate,United States,Chicago,,99081,East,PROD-6086,Furniture,Bookcases,Bookcases 241,614.45,4,0.16,163.64
CA-2020-100095,2020-01-08,2020-01-14,First Class,CUST-5232,Carlos Ramirez,Consumer,United States,New York,,15571,South,PROD-6793,Office Supplies,Labels,Labels 428,73.97,2,0.14,13.07
CA-2019-100096,2019-07-12,2019-07-16,Standard Class,CUST-2948,Manuela Granados,Corporate,Peru,Arequipa,,81854,Central,PROD-8094,Technology,Machines,Machines 906,1585.8,4,0.26,272.83
CA-2020-100097,2020-03-25,2020-03-31,Same Day,CUST-8122,Juan Perez,Home Office,Colombia,Bogotá,,76852,South,PROD-6842,Furniture,Bookcases,Bookcases 652,1509.89,7,0.18,256.52
CA-2020-100098,2020-09-18,2020-09-25,Second Class,CUST-6574,Carlos Ramirez,Corporate,Brazil,São Paulo,,12257,West,PROD-5072,Office Supplies,Art,Art 13,50.6,1,0.12,9.72
CA-2020-100099,2020-10-17,2020-10-24,Standard Class,CUST-2772,Luisa Morales,Home Office,Canada,Montreal,,28135,West,PROD-9353,Office Supplies,Envelopes,Envelopes 905,230.94,5,0.1,24.8
CA-2023-100100,2023-09-26,2023-10-02,Second Class,CUST-1234,Manuela Granados,Corporate,Mexico,Monterrey,,36672,South,PROD-2548,Furniture,Bookcases,Bookcases 313,3998.03,8,0.09,188.63
CA-2019-100101,2019-09-18,2019-09-25,First Class,CUST-5493,Juan Perez,Consumer,Colombia,Medellín,,61813,North,PROD-1674,Technology,Copiers,Copiers 921,909.95,6,0.08,106.01
CA-2023-100102,2023-04-26,2023-04-30,First Class,CUST-3745,David Charry,Consumer,Canada,Toronto,,42245,South,PROD-7091,Technology,Machines,Machines 795,768.72,1,0.13,117.98
CA-2023-100103,2023-04-13,2023-04-14,Second Class,CUST-3566,Luisa Morales,Corporate,United States,Seattle,,30093,West,PROD-3803,Office Supplies,Labels,Labels 825,99.18,5,0.18,-0.2
CA-2024-100104,2024-04-01,2024-04-07,Standard Class,CUST-9835,Manuela Granados,Consumer,United States,Los Angeles,,12204,East,PROD-9386,Technology,Copiers,Copiers 925,4710.95,5,0.08,935.03
CA-2024-100105,2024-12-07,2024-12-12,Same Day,CUST-7683,Juan Perez,Consumer,Brazil,Rio de Janeiro,,48458,South,PROD-1277,Office Supplies,Labels,Labels 233,49.49,2,0.16,4.76
CA-2021-100106,2021-10-26,2021-10-31,Second Class,CUST-4483,Maria Garcia,Home Office,Spain,Barcelona,,75344,East,PROD-2994,Office Supplies,Paper,Paper 491,229.36,7,0.14,38.28
CA-2019-100107,2019-02-17,2019-02-19,Standard Class,CUST-8763,Sara Lopez,Corporate,United States,Chicago,,57562,South,PROD-6939,Office Supplies,Binders,Binders 361,19.19,1,0.11,0.23
CA-2020-100108,2020-04-14,2020-04-21,First Class,CUST-3645,Carlos Ramirez,Home Office,United States,Los Angeles,,75101,West,PROD-7589,Furniture,Tables,Tables 210,1314.48,8,0.07,349.94
CA-2021-100109,2021-12-28,2022-01-02,Standard Class,CUST-3743,Luisa Morales,Home Office,United States,Seattle,,86221,North,PROD-8866,Office Supplies,Envelopes,Envelopes 90,72.67,3,0.13,-1.52
CA-2022-100110,2022-10-25,2022-10-27,Standard Class,CUST-3895,David Charry,Corporate,Brazil,São Paulo,,80902,South,PROD-7593,Technology,Phones,Phones 930,7673.56,9,0.23,512.62
CA-2020-100111,2020-04-01,2020-04-02,Second Class,CUST-6973,Alejandro Robles,Corporate,Mexico,CDMX,,37691,East,PROD-7236,Furniture,Chairs,Chairs 86,1241.27,8,0.21,32.17
CA-2022-100112,2022-04-17,2022-04-21,Same Day,CUST-5444,Maria Garcia,Consumer,Argentina,Buenos Aires,,93596,East,PROD-8618,Technology,Copiers,Copiers 876,3002.74,9,0.31,-663.58
CA-2023-100113,2023-11-16,2023-11-20,Second Class,CUST-4696,Juan Perez,Consumer,Argentina,Rosario,,29149,South,PROD-4674,Technology,Copiers,Copiers 858,3189.49,4,0.28,-688.96
CA-2020-100114,2020-10-09,2020-10-13,Same Day,CUST-4699,David Charry,Consumer,Spain,Barcelona,,96120,West,PROD-4786,Office Supplies,Art,Art 41,15.73,1,0.05,1.23
CA-2024-100115,2024-02-02,2024-02-07,Second Class,CUST-7242,Juan Perez,Consumer,Canada,Vancouver,,90070,North,PROD-2132,Office Supplies,Paper,Paper 700,47.44,5,0.22,0.37
CA-2019-100116,2019-01-14,2019-01-15,Same Day,CUST-7696,David Charry,Home Office,Peru,Cusco,,70315,North,PROD-1614,Office Supplies,Storage,Storage 558,289.81,7,0.23,-2.76
CA-2021-100117,2021-12-14,2021-12-19,First Class,CUST-4252,Alejandro Robles,Corporate,Mexico,Monterrey,,53884,North,PROD-8415,Technology,Machines,Machines 628,8979.62,9,0.06,1920.22
CA-2024-100118,2024-08-12,2024-08-19,Same Day,CUST-4156,Alejandro Robles,Corporate,Colombia,Bogotá,,67727,South,PROD-5307,Office Supplies,Binders,Binders 515,153.37,5,0.09,42.1
CA-2021-100119,2021-01-01,2021-01-06,First Class,CUST-3749,Sara Lopez,Corporate,Brazil,Rio de Janeiro,,40106,South,PROD-7680,Technology,Phones,Phones 112,1012.43,3,0.17,57.47
CA-2024-100120,2024-09-10,2024-09-11,Standard Class,CUST-4273,Manuela Granados,Corporate,Peru,Arequipa,,88077,Central,PROD-5538,Technology,Machines,Machines 162,3065.99,3,0.06,1032.2
CA-2020-100121,2020-03-11,2020-03-12,Standard Class,CUST-3800,Alejandro Robles,Corporate,Colombia,Medellín,,12610,South,PROD-6310,Technology,Copiers,Copiers 729,4349.86,9,0.2,173.84
CA-2022-100122,2022-05-07,2022-05-14,Standard Class,CUST-4489,Alejandro Robles,Consumer,Brazil,Brasília,,94040,North,PROD-1680,Office Supplies,Art,Art 477,99.79,4,0.11,20.92
CA-2024-100123,2024-09-10,2024-09-11,Standard Class,CUST-8106,Alejandro Robles,Consumer,Colombia,Bogotá,,43919,East,PROD-4171,Furniture,Furnishings,Furnishings 544,1524.57,6,0.21,79.36
CA-2021-100124,2021-03-25,2021-03-26,First Class,CUST-8032,Carlos Ramirez,Home Office,Colombia,Medellín,,20578,Central,PROD-1992,Office Supplies,Envelopes,Envelopes 945,12.18,4,0.12,0.48
CA-2020-100125,2020-09-18,2020-09-22,Second Class,CUST-2481,Luisa Morales,Home Office,United States,Los Angeles,,26835,Central,PROD-8256,Office Supplies,Envelopes,Envelopes 660,168.13,5,0.23,28.49
CA-2023-100126,2023-03-12,2023-03-19,Standard Class,CUST-5595,Manuela Granados,Corporate,Spain,Barcelona,,82827,Central,PROD-5559,Furniture,Tables,Tables 840,1832.1,7,0.15,-96.07
CA-2020-100127,2020-10-23,2020-10-26,First Class,CUST-7261,Sara Lopez,Consumer,Argentina,Buenos Aires,,95024,East,PROD-1887,Technology,Accessories,Accessories 59,241.68,1,0.4,-48.88
CA-2024-100128,2024-12-12,2024-12-15,Standard Class,CUST-7358,Alejandro Robles,Home Office,Colombia,Medellín,,32931,South,PROD-9319,Technology,Phones,Phones 822,734.95,2,0.15,41.98
CA-2019-100129,2019-01-03,2019-01-04,Same Day,CUST-2988,Juan Perez,Consumer,Mexico,Monterrey,,38230,West,PROD-4802,Furniture,Tables,Tables 689,1807.59,8,0.19,392.78
CA-2022-100130,2022-08-20,2022-08-23,First Class,CUST-2518,Luisa Morales,Corporate,Argentina,Córdoba,,78136,South,PROD-7163,Office Supplies,Art,Art 987,59.43,3,0.34,3.32
CA-2024-100131,2024-06-24,2024-06-27,First Class,CUST-8519,Alejandro Robles,Home Office,Spain,Valencia,,61707,South,PROD-5195,Technology,Phones,Phones 59,626.76,6,0.33,-92.7
CA-2019-100132,2019-03-21,2019-03-22,First Class,CUST-5120,Maria Garcia,Home Office,Brazil,Rio de Janeiro,,72912,West,PROD-7124,Office Supplies,Storage,Storage 284,92.2,2,0.19,-0.03
CA-2020-100133,2020-04-03,2020-04-06,First Class,CUST-5937,Sara Lopez,Home Office,Chile,Valparaíso,,94021,Central,PROD-1369,Technology,Copiers,Copiers 795,565.56,1,0.16,27.27
CA-2023-100134,2023-01-26,2023-01-31,Standard Class,CUST-1859,Maria Garcia,Home Office,Colombia,Bogotá,,85945,North,PROD-5138,Office Supplies,Labels,Labels 377,87.18,2,0.04,32.45
